Territorialidades;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Taxa de mortalidade de mulheres por câncer da mama 2013
Brasil;0,727;0,739;0,816;0,637;13,84
Abreu E Lima (PE);0,679;0,625;0,791;0,632;11,75
Afogados da Ingazeira (PE);0,657;0,623;0,807;0,565;15,81
Afrânio (PE);0,588;0,542;0,761;0,493;0
Agrestina (PE);0,592;0,581;0,76;0,47;8,1
Água Preta (PE);0,553;0,514;0,761;0,432;0
Águas Belas (PE);0,526;0,546;0,691;0,385;13,97
Alagoinha (PE);0,599;0,569;0,801;0,472;0
Aliança (PE);0,604;0,565;0,799;0,488;5,19
Altinho (PE);0,598;0,559;0,792;0,482;0
Amaraji (PE);0,58;0,575;0,748;0,454;17,76
Angelim (PE);0,572;0,555;0,751;0,448;0
Araçoiaba (PE);0,592;0,544;0,765;0,498;0
Araripina (PE);0,602;0,595;0,785;0,467;9,72
Arcoverde (PE);0,667;0,654;0,799;0,567;5,24
Barra de Guabiraba (PE);0,577;0,558;0,726;0,474;0
Barreiros (PE);0,586;0,561;0,73;0,491;27,92
Belém de Maria (PE);0,578;0,537;0,749;0,479;16,86
Belém do São Francisco (PE);0,642;0,611;0,784;0,553;0
Belo Jardim (PE);0,629;0,617;0,783;0,514;12,84
Betânia (PE);0,559;0,533;0,742;0,441;16,1
Bezerros (PE);0,606;0,608;0,752;0,487;19,09
Bodocó (PE);0,565;0,543;0,745;0,445;16,35
Bom Conselho (PE);0,563;0,585;0,704;0,433;0
Bom Jardim (PE);0,602;0,552;0,767;0,515;5,04
Bonito (PE);0,561;0,559;0,754;0,42;5,17
Brejão (PE);0,547;0,54;0,725;0,417;65,32
Brejinho (PE);0,574;0,563;0,681;0,493;0
Brejo da Madre de Deus (PE);0,562;0,581;0,734;0,417;16,38
Buenos Aires (PE);0,593;0,556;0,778;0,481;15,29
Buíque (PE);0,527;0,497;0,746;0,395;3,56
Cabo de Santo Agostinho (PE);0,686;0,654;0,812;0,609;15,03
Cabrobó (PE);0,623;0,581;0,773;0,539;5,99
Cachoeirinha (PE);0,579;0,587;0,753;0,439;9,85
Caetés (PE);0,522;0,497;0,732;0,392;14,28
Calçado (PE);0,566;0,529;0,731;0,468;17,83
Calumbi (PE);0,571;0,567;0,715;0,46;0
Camaragibe (PE);0,692;0,656;0,805;0,628;19
Camocim de São Félix (PE);0,588;0,585;0,738;0,472;10,83
Camutanga (PE);0,606;0,57;0,76;0,514;0
Canhotinho (PE);0,541;0,543;0,725;0,403;24,29
Capoeiras (PE);0,549;0,529;0,746;0,419;0
Carnaíba (PE);0,583;0,54;0,727;0,505;0
Carnaubeira da Penha (PE);0,573;0,491;0,755;0,508;0
Carpina (PE);0,68;0,63;0,806;0,619;9,61
Caruaru (PE);0,677;0,681;0,799;0,569;14,64
Casinhas (PE);0,567;0,518;0,721;0,489;0
Catende (PE);0,609;0,578;0,76;0,515;0
Cedro (PE);0,615;0,565;0,717;0,573;0
Chã de Alegria (PE);0,604;0,546;0,762;0,529;0
Chã Grande (PE);0,599;0,603;0,803;0,443;9,44
Condado (PE);0,602;0,581;0,713;0,527;15,35
Correntes (PE);0,536;0,551;0,726;0,385;0
Cortês (PE);0,568;0,541;0,707;0,478;0
Cumaru (PE);0,572;0,553;0,72;0,47;13,37
Cupira (PE);0,592;0,601;0,763;0,453;8
Custódia (PE);0,594;0,607;0,706;0,489;16,6
Dormentes (PE);0,589;0,558;0,741;0,495;0
Escada (PE);0,632;0,594;0,781;0,543;8,86
Exu (PE);0,576;0,543;0,775;0,454;18,32
Feira Nova (PE);0,6;0,581;0,807;0,46;0
Fernando de Noronha (PE);0,788;0,781;0,839;0,748;
Ferreiros (PE);0,622;0,589;0,787;0,519;16,66
Flores (PE);0,556;0,544;0,745;0,423;0
Floresta (PE);0,626;0,588;0,775;0,538;6,34
Frei Miguelinho (PE);0,576;0,575;0,758;0,438;13,12
Gameleira (PE);0,602;0,541;0,759;0,532;13,7
Garanhuns (PE);0,664;0,662;0,795;0,556;13,99
Glória do Goitá (PE);0,604;0,57;0,765;0,506;13,02
Goiana (PE);0,651;0,614;0,779;0,576;12,44
Granito (PE);0,595;0,543;0,773;0,502;
Gravatá (PE);0,634;0,63;0,794;0,51;19,22
Iati (PE);0,528;0,518;0,768;0,369;10,57
Ibimirim (PE);0,552;0,533;0,706;0,446;0
Ibirajuba (PE);0,58;0,545;0,753;0,476;26,09
Igarassu (PE);0,665;0,622;0,781;0,606;12,39
Iguaraci (PE);0,598;0,58;0,77;0,48;0
Ilha de Itamaracá (PE);0,653;0,627;0,809;0,548;39,26
Inajá (PE);0,523;0,503;0,711;0,4;9,54
Ingazeira (PE);0,608;0,575;0,766;0,51;0
Ipojuca (PE);0,619;0,613;0,774;0,499;9
Ipubi (PE);0,55;0,541;0,712;0,433;0
Itacuruba (PE);0,595;0,567;0,712;0,523;0
Itaíba (PE);0,51;0,531;0,688;0,364;7,46
Itambé (PE);0,575;0,566;0,727;0,463;5,45
Itapetim (PE);0,592;0,598;0,704;0,494;14,17
Itapissuma (PE);0,633;0,589;0,764;0,564;0
Itaquitinga (PE);0,586;0,554;0,715;0,509;0
Jaboatão dos Guararapes (PE);0,717;0,692;0,83;0,642;16,85
Jaqueira (PE);0,575;0,557;0,751;0,454;0
Jataúba (PE);0,53;0,549;0,712;0,381;35,75
Jatobá (PE);0,645;0,604;0,775;0,573;13,55
João Alfredo (PE);0,576;0,569;0,72;0,466;0
Joaquim Nabuco (PE);0,554;0,561;0,676;0,449;0
Jucati (PE);0,55;0,541;0,681;0,451;0
Jupi (PE);0,575;0,56;0,698;0,487;27,25
Jurema (PE);0,509;0,522;0,681;0,372;26,08
Lagoa de Itaenga (PE);0,602;0,555;0,774;0,509;9,2
Lagoa do Carro (PE);0,609;0,566;0,789;0,505;23,05
Lagoa do Ouro (PE);0,525;0,536;0,733;0,369;0
Lagoa dos Gatos (PE);0,551;0,555;0,725;0,416;49,8
Lagoa Grande (PE);0,597;0,581;0,705;0,52;0
Lajedo (PE);0,611;0,599;0,758;0,503;9,89
Limoeiro (PE);0,663;0,628;0,797;0,583;13,74
Macaparana (PE);0,609;0,571;0,778;0,508;15,74
Machados (PE);0,578;0,541;0,767;0,466;26,13
Manari (PE);0,487;0,477;0,682;0,354;0
Maraial (PE);0,534;0,541;0,698;0,403;16,81
Mirandiba (PE);0,591;0,512;0,769;0,525;0
Moreilândia (PE);0,6;0,522;0,768;0,54;17,86
Moreno (PE);0,652;0,61;0,805;0,564;42,43
Nazaré da Mata (PE);0,662;0,608;0,789;0,604;18,08
Olinda (PE);0,735;0,704;0,836;0,675;26,36
Orobó (PE);0,61;0,545;0,787;0,528;0
Orocó (PE);0,61;0,536;0,766;0,553;
Ouricuri (PE);0,572;0,578;0,773;0,419;11,65
Palmares (PE);0,622;0,588;0,744;0,55;9,42
Palmeirina (PE);0,549;0,554;0,681;0,438;0
Panelas (PE);0,569;0,546;0,778;0,433;7,41
Paranatama (PE);0,537;0,528;0,703;0,418;0
Parnamirim (PE);0,599;0,556;0,776;0,499;0
Passira (PE);0,592;0,559;0,763;0,487;6,72
Paudalho (PE);0,639;0,612;0,782;0,545;3,63
Paulista (PE);0,732;0,673;0,83;0,703;13,14
Pedra (PE);0,567;0,55;0,743;0,445;0
Pesqueira (PE);0,61;0,597;0,751;0,506;8,94
Petrolândia (PE);0,623;0,604;0,755;0,531;5,69
Petrolina (PE);0,697;0,695;0,799;0,611;12,19
Poção (PE);0,528;0,542;0,677;0,402;34,03
Pombos (PE);0,598;0,584;0,79;0,463;29,6
Primavera (PE);0,58;0,572;0,767;0,444;0
Quipapá (PE);0,552;0,53;0,743;0,427;7,82
Quixaba (PE);0,577;0,53;0,752;0,482;0
Recife (PE);0,772;0,798;0,825;0,698;20,44
Riacho das Almas (PE);0,57;0,586;0,757;0,418;0
Ribeirão (PE);0,602;0,595;0,711;0,516;8,47
Rio Formoso (PE);0,613;0,562;0,809;0,506;17,5
Sairé (PE);0,585;0,581;0,784;0,44;0
Salgadinho (PE);0,534;0,516;0,73;0,405;39,9
Salgueiro (PE);0,669;0,645;0,799;0,58;9,91
Saloá (PE);0,559;0,559;0,744;0,421;0
Sanharó (PE);0,603;0,564;0,758;0,514;8,15
Santa Cruz do Capibaribe (PE);0,648;0,667;0,806;0,506;10
Santa Cruz (PE);0,549;0,522;0,722;0,438;0
Santa Filomena (PE);0,533;0,496;0,752;0,406;14,47
Santa Maria da Boa Vista (PE);0,59;0,564;0,773;0,472;0
Santa Maria do Cambucá (PE);0,548;0,571;0,735;0,393;0
Santa Terezinha (PE);0,593;0,54;0,737;0,524;0
São Benedito do Sul (PE);0,53;0,499;0,736;0,406;
São Bento do Una (PE);0,593;0,593;0,789;0,446;0
São Caitano (PE);0,591;0,583;0,756;0,469;10,7
São João (PE);0,57;0,565;0,768;0,426;17,69
São Joaquim do Monte (PE);0,537;0,549;0,741;0,381;0
São José da Coroa Grande (PE);0,608;0,585;0,736;0,522;0
São José do Belmonte (PE);0,61;0,569;0,769;0,52;0
São José do Egito (PE);0,635;0,602;0,769;0,554;0
São Lourenço da Mata (PE);0,653;0,614;0,793;0,571;14,37
São Vicente Ferrer (PE);0,549;0,558;0,715;0,414;0
Serra Talhada (PE);0,661;0,632;0,8;0,571;2,3
Serrita (PE);0,595;0,542;0,76;0,512;10,59
Sertânia (PE);0,613;0,601;0,752;0,51;11,16
Sirinhaém (PE);0,597;0,568;0,763;0,492;14,08
Solidão (PE);0,585;0,547;0,755;0,485;0
Surubim (PE);0,635;0,617;0,756;0,548;15,49
Tabira (PE);0,605;0,57;0,77;0,504;0
Tacaimbó (PE);0,554;0,536;0,748;0,423;0
Tacaratu (PE);0,573;0,521;0,711;0,507;8,49
Tamandaré (PE);0,593;0,583;0,745;0,479;18,24
Taquaritinga do Norte (PE);0,641;0,636;0,796;0,52;14,8
Terezinha (PE);0,545;0,536;0,711;0,425;
Terra Nova (PE);0,599;0,545;0,741;0,533;20,54
Timbaúba (PE);0,618;0,592;0,769;0,519;0
Toritama (PE);0,618;0,655;0,797;0,452;0
Tracunhaém (PE);0,605;0,567;0,776;0,504;0
Trindade (PE);0,595;0,602;0,768;0,455;7,12
Triunfo (PE);0,67;0,624;0,817;0,591;0
Tupanatinga (PE);0,519;0,494;0,747;0,379;0
Tuparetama (PE);0,634;0,612;0,749;0,557;0
Venturosa (PE);0,592;0,57;0,751;0,484;0
Verdejante (PE);0,605;0,56;0,76;0,52;20,86
Vertente do Lério (PE);0,563;0,532;0,726;0,461;0
Vertentes (PE);0,582;0,602;0,728;0,45;20,17
Vicência (PE);0,605;0,551;0,754;0,534;6,2
Vitória de Santo Antão (PE);0,64;0,629;0,768;0,543;17,24
Xexéu (PE);0,552;0,549;0,703;0,436;27,36
